t,x,y
3.759999999999999787e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.779999999999999805e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.799999999999999822e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.819999999999999840e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.839999999999999858e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.859999999999999876e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.879999999999999893e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.899999999999999911e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.919999999999999929e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.939999999999999947e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.959999999999999964e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.979999999999999982e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.000000000000000000e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.019999999999999574e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.040000000000000036e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.059999999999999609e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.080000000000000071e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.099999999999999645e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.120000000000000107e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.139999999999999680e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.160000000000000142e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.179999999999999716e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.200000000000000178e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.219999999999999751e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.240000000000000213e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.259999999999999787e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.280000000000000249e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.299999999999999822e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.320000000000000284e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.339999999999999858e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.360000000000000320e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.379999999999999893e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.400000000000000355e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.419999999999999929e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.440000000000000391e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.459999999999999964e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.480000000000000426e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.500000000000000000e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.519999999999999574e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.540000000000000036e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.559999999999999609e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.580000000000000071e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.599999999999999645e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.620000000000000107e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.639999999999999680e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.660000000000000142e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.679999999999999716e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.700000000000000178e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.719999999999999751e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.740000000000000213e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.759999999999999787e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.780000000000000249e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.799999999999999822e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.820000000000000284e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.839999999999999858e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.860000000000000320e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.879999999999999893e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.900000000000000355e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.919999999999999929e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.940000000000000391e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.959999999999999964e+00,5.717541503906250000e+02,-7.863529205322265625e+00
4.980000000000000426e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.000000000000000000e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.019999999999999574e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.040000000000000036e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.059999999999999609e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.080000000000000071e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.099999999999999645e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.120000000000000107e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.139999999999999680e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.160000000000000142e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.179999999999999716e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.200000000000000178e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.219999999999999751e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.240000000000000213e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.259999999999999787e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.280000000000000249e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.299999999999999822e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.320000000000000284e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.339999999999999858e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.360000000000000320e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.379999999999999893e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.400000000000000355e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.419999999999999929e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.440000000000000391e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.459999999999999964e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.480000000000000426e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.500000000000000000e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.519999999999999574e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.540000000000000036e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.559999999999999609e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.580000000000000071e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.599999999999999645e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.620000000000000107e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.639999999999999680e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.660000000000000142e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.679999999999999716e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.700000000000000178e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.719999999999999751e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.740000000000000213e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.759999999999999787e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.780000000000000249e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.799999999999999822e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.820000000000000284e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.839999999999999858e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.860000000000000320e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.879999999999999893e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.900000000000000355e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.919999999999999929e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.940000000000000391e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.959999999999999964e+00,5.717541503906250000e+02,-7.863529205322265625e+00
5.980000000000000426e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.000000000000000000e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.019999999999999574e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.040000000000000036e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.059999999999999609e+00,5.717541503906250000e+02,-7.863529205322265625e+00
